ID;ZeitID;KampagneID;FilialeID;ProduktID;Menge Ist;Menge Soll;Preis_ Pro_ Einheit;Waehrung;KampagnenkostenEUR;Umsatz_Ist;Umsatz_Soll;Herstellkosten;Gewinn;Produktkategorie;Hersteller;Einheit;Herstellkosten je Einheit in EUR;Kurztext;Langtext;Filiale-Bez;Anschrift;Filiale-PLZ;Filiale-Ort;Region;Region-Bez;Land;LandBez;Verkaufsleiter;Kampagne-Bez;Medienart;Verantwortlicher;KalMonatJahr;Jahr;Monat
48;200306;2;8;15;110;91;2553,94;CAD;53236,0;280933,4;232408,54;138490;142443,40000000002;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-06-01;2003;Juni
49;200306;3;8;17;147;133;2093,64;CAD;13798,0;307765,07999999996;278454,12;151263;156502,07999999996;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-06-01;2003;Juni
53;200306;2;8;31;111;124;2686,73;CAD;53236,0;298227,03;333154,52;170940;127287,03000000003;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-06-01;2003;Juni
58;200306;3;8;50;144;123;994,2;CAD;13798,0;143164,80000000002;122286,6;60480;82684,80000000002;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-06-01;2003;Juni
62;200306;3;8;80;156;148;664,28;CAD;13798,0;103627,68;98313,44;48984;54643,67999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-06-01;2003;Juni
64;200307;2;8;1;113;124;2201,7;CAD;53236,0;248792,09999999998;273010,8;134357;114435,09999999998;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-07-01;2003;Juli
68;200307;2;8;15;144;119;2553,94;CAD;53236,0;367767,36;303918,86;181296;186471,36;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-07-01;2003;Juli
69;200307;3;8;17;175;160;2093,64;CAD;13798,0;366387,0;334982,39999999997;180075;186312,0;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-07-01;2003;Juli
73;200307;2;8;31;168;166;2686,73;CAD;53236,0;451370,64;445997,18;258720;192650,64;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-07-01;2003;Juli
78;200307;3;8;50;127;116;994,2;CAD;13798,0;126263,40000000001;115327,20000000001;53340;72923,40000000001;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-07-01;2003;Juli
82;200307;3;8;80;131;128;664,28;CAD;13798,0;87020,68;85027,84;41134;45886,67999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-07-01;2003;Juli
84;200308;2;8;1;173;167;2201,7;CAD;53236,0;380894,1;367683,89999999997;205697;175197,09999999998;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-08-01;2003;August
88;200308;2;8;15;155;178;2553,94;CAD;53236,0;395860,7;454601,32;195145;200715,7;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-08-01;2003;August
89;200308;3;8;17;129;123;2093,64;CAD;13798,0;270079,56;257517,71999999997;132741;137338,56;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-08-01;2003;August
93;200308;2;8;31;182;177;2686,73;CAD;53236,0;488984,86;475551,21;280280;208704,86;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-08-01;2003;August
98;200308;3;8;50;106;117;994,2;CAD;13798,0;105385,20000000001;116321,40000000001;44520;60865,20000000001;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-08-01;2003;August
102;200308;3;8;80;172;190;664,28;CAD;13798,0;114256,15999999999;126213,2;54008;60248,15999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-08-01;2003;August
104;200309;2;8;1;136;142;2201,7;CAD;53236,0;299431,19999999995;312641,39999999997;161704;137727,19999999995;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-09-01;2003;September
108;200309;2;8;15;180;183;2553,94;CAD;53236,0;459709,2;467371,02;226620;233089,2;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-09-01;2003;September
109;200309;3;8;17;111;119;2093,64;CAD;13798,0;232394,03999999998;249143,15999999997;114219;118175,03999999998;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-09-01;2003;September
113;200309;2;8;31;100;114;2686,73;CAD;53236,0;268673,0;306287,22000000003;154000;114673,0;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-09-01;2003;September
118;200309;3;8;50;159;156;994,2;CAD;13798,0;158077,80000000002;155095,2;66780;91297,80000000002;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-09-01;2003;September
122;200309;3;8;80;144;170;664,28;CAD;13798,0;95656,31999999999;112927,59999999999;45216;50440,31999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-09-01;2003;September
124;200310;2;8;1;153;159;2201,7;CAD;53236,0;336860,1;350070,3;181917;154943,09999999998;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-10-01;2003;Oktober
128;200310;2;8;15;110;112;2553,94;CAD;53236,0;280933,4;286041,28;138490;142443,40000000002;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-10-01;2003;Oktober
129;200310;3;8;17;155;128;2093,64;CAD;13798,0;324514,19999999995;267985,92;159495;165019,19999999995;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-10-01;2003;Oktober
133;200310;2;8;31;155;160;2686,73;CAD;53236,0;416443,15;429876,8;238700;177743,15000000002;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-10-01;2003;Oktober
138;200310;3;8;50;170;202;994,2;CAD;13798,0;169014,0;200828,40000000002;71400;97614,0;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-10-01;2003;Oktober
142;200310;3;8;80;107;128;664,28;CAD;13798,0;71077,95999999999;85027,84;33598;37479,95999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-10-01;2003;Oktober
144;200311;2;8;1;140;165;2201,7;CAD;53236,0;308238,0;363280,49999999994;166460;141778,0;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-11-01;2003;November
148;200311;2;8;15;153;169;2553,94;CAD;53236,0;390752,82;431615,86;192627;198125,82;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-11-01;2003;November
149;200311;3;8;17;148;141;2093,64;CAD;13798,0;309858,72;295203,24;152292;157566,71999999997;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-11-01;2003;November
153;200311;2;8;31;150;148;2686,73;CAD;53236,0;403009,5;397636,04;231000;172009,5;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-11-01;2003;November
158;200311;3;8;50;123;141;994,2;CAD;13798,0;122286,6;140182,2;51660;70626,6;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-11-01;2003;November
162;200311;3;8;80;121;125;664,28;CAD;13798,0;80377,87999999999;83035,0;37994;42383,87999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-11-01;2003;November
164;200312;2;8;1;124;141;2201,7;CAD;53236,0;273010,8;310439,69999999995;147436;125574,79999999999;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-12-01;2003;Dezember
168;200312;2;8;15;168;167;2553,94;CAD;53236,0;429061,92;426507,98;211512;217549,91999999998;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-12-01;2003;Dezember
169;200312;3;8;17;129;153;2093,64;CAD;13798,0;270079,56;320326,92;132741;137338,56;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-12-01;2003;Dezember
173;200312;2;8;31;150;156;2686,73;CAD;53236,0;403009,5;419129,88;231000;172009,5;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-12-01;2003;Dezember
178;200312;3;8;50;127;131;994,2;CAD;13798,0;126263,40000000001;130240,20000000001;53340;72923,40000000001;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-12-01;2003;Dezember
182;200312;3;8;80;106;98;664,28;CAD;13798,0;70413,68;65099,439999999995;33284;37129,67999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-12-01;2003;Dezember
184;200301;2;10;1;43;43;9649,24;DKK;53236,0;414917,32;414917,32;51127;363790,32;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;Tablet PC;Web mails;Sarah Hicks;2003-01-01;2003;Januar
188;200301;2;10;15;63;71;11193,0;DKK;53236,0;705159,0;794703,0;79317;625842,0;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;Tablet PC;Web mails;Sarah Hicks;2003-01-01;2003;Januar
189;200301;3;10;17;72;75;9175,66;DKK;13798,0;660647,52;688174,5;74088;586559,52;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;HP;Radio;Robert Difatta;2003-01-01;2003;Januar
193;200301;2;10;31;58;48;11775,0;DKK;53236,0;682950,0;565200,0;89320;593630,0;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;Tablet PC;Web mails;Sarah Hicks;2003-01-01;2003;Januar
195;200301;4;10;38;47;53;8976,01;DKK;123240,0;421872,47000000003;475728,53;42582;379290,47000000003;Desktop;Apple;ST;906;Apple eMac Desktop 17 M8951LL/A;10-GHz PowerPC G4 256 MB RAM 80 GB Hard Drive DVD-RW/CD-RW Drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;Desktop Nord Europa;Zeitungsbeilage;Marilyn Schaidt;2003-01-01;2003;Januar
196;200301;4;10;40;66;66;12224,5;DKK;123240,0;806817,0;806817,0;52866;753951,0;Desktop;Apple;ST;801;Apple Power Mac Desktop M8839LL/A;10-GHz PowerPC G4 256 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;Desktop Nord Europa;Zeitungsbeilage;Marilyn Schaidt;2003-01-01;2003;Januar
197;200301;4;10;44;67;59;3682,95;DKK;123240,0;246757,65;217294,05;18760;227997,65;Desktop;Compaq;ST;280;Compaq Presario 6400NX Desktop PC;153 GHz Athlon XP 1800 128MB RAM 40GB hard drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;Desktop Nord Europa;Zeitungsbeilage;Marilyn Schaidt;2003-01-01;2003;Januar
198;200301;4;10;50;57;66;4357,24;DKK;123240,0;248362,68;287577,83999999997;23940;224422,68;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;Desktop Nord Europa;Zeitungsbeilage;Marilyn Schaidt;2003-01-01;2003;Januar
199;200301;3;10;50;57;66;4357,24;DKK;13798,0;248362,68;287577,83999999997;23940;224422,68;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Århus;Smagsløget 45;8200;Århus;EU;Europa;DK;Dänemark;Palle Ibsen;HP;Radio;Robert Difatta;2003-01-01;2003;Januar
